# Generated from the linked inventory registry; do not hand-edit rows.
# Refresh deliberately with: cargo test -p wow-world print_world_handler_contract_snapshot --lib -- --ignored --nocapture
opcode_value	opcode_name	handler_name	session_status	packet_processing
0x31AA	QueryCountdownTimer	handle_request_countdown_timer	LoggedIn	Inplace
0x31AF	CancelAura	handle_cancel_aura	LoggedIn	Inplace
0x31B9	SetGameEventDebugViewState	handle_set_game_event_debug_view_state	LoggedIn	ThreadUnsafe
0x31D6	AreaTrigger	handle_area_trigger	LoggedIn	Inplace
0x31DF	BattlePetUpdateNotify	handle_battle_pet_update_notify	LoggedIn	ThreadUnsafe
0x31E0	BattlePetUpdateDisplayNotify	handle_battle_pet_update_display_notify	LoggedIn	ThreadUnsafe
0x3205	RequestForcedReactions	handle_request_forced_reactions	LoggedIn	ThreadUnsafe
0x3207	AssignEquipmentSetSpec	handle_assign_equipment_set_spec	LoggedIn	Inplace
0x320D	ConfirmRespecWipe	handle_confirm_respec_wipe	LoggedIn	ThreadUnsafe
0x320E	ConfirmBarbersChoice	handle_confirm_barbers_choice	LoggedIn	ThreadUnsafe
0x320F	LootUnit	handle_loot_unit	LoggedIn	ThreadUnsafe
0x3210	LootMoney	handle_loot_money	LoggedIn	ThreadUnsafe
0x3211	LootItem	handle_loot_item	LoggedIn	ThreadUnsafe
0x3212	MasterLootItem	handle_master_loot_item	LoggedIn	ThreadUnsafe
0x3213	LootRelease	handle_loot_release	LoggedIn	ThreadUnsafe
0x3214	LootRoll	handle_loot_roll	LoggedIn	ThreadUnsafe
0x3222	SetDifficultyId	handle_set_difficulty_id	LoggedIn	ThreadUnsafe
0x3237	RequestVehicleExit	handle_request_vehicle_exit	LoggedIn	Inplace
0x3238	RequestVehiclePrevSeat	handle_request_vehicle_prev_seat	LoggedIn	Inplace
0x3239	RequestVehicleNextSeat	handle_request_vehicle_next_seat	LoggedIn	Inplace
0x323A	RequestVehicleSwitchSeat	handle_request_vehicle_switch_seat	LoggedIn	Inplace
0x323B	RideVehicleInteract	handle_ride_vehicle_interact	LoggedIn	ThreadUnsafe
0x323C	EjectPassenger	handle_eject_passenger	LoggedIn	ThreadUnsafe
0x3255	AttackSwing	handle_attack_swing	LoggedIn	Inplace
0x3256	AttackStop	handle_attack_stop	LoggedIn	Inplace
0x326A	CancelChannelling	handle_cancel_channelling	LoggedIn	Inplace
0x326F	CancelGrowthAura	handle_cancel_growth_aura	LoggedIn	Inplace
0x3270	QueryCreature	handle_query_creature	LoggedIn	Inplace
0x3271	QueryGameObject	handle_query_game_object	LoggedIn	Inplace
0x3272	QueryNpcText	handle_query_npc_text	LoggedIn	Inplace
0x3273	QueryQuestInfo	handle_query_quest_info	LoggedIn	Inplace
0x3274	QueryPageText	handle_query_page_text	LoggedIn	Inplace
0x3275	QueryPetName	handle_query_pet_name	LoggedIn	Inplace
0x3276	QueryBattlePetName	handle_query_battle_pet_name	LoggedIn	Inplace
0x3277	QueryPetition	handle_query_petition	LoggedIn	ThreadUnsafe
0x327A	RequestPlayedTime	handle_request_played_time	LoggedIn	Inplace
0x327E	SetTitle	handle_set_title	LoggedIn	Inplace
0x327F	CancelMountAura	handle_cancel_mount_aura	LoggedIn	Inplace
0x3280	MountSpecialAnim	handle_mount_special_anim	LoggedIn	ThreadUnsafe
0x3292	SpawnTrackingUpdate	handle_spawn_tracking_update	Authed	Inplace
0x3293	DestroyItem	handle_destroy_item	LoggedIn	Inplace
0x3299	AddToy	handle_add_toy	LoggedIn	ThreadUnsafe
0x329A	UseToy	handle_use_toy	LoggedIn	Inplace
0x329C	CastSpell	handle_cast_spell	LoggedIn	ThreadSafe
0x329D	UpdateSpellVisual	handle_update_spell_visual	Authed	Inplace
0x329E	UpdateAreaTriggerVisual	handle_update_area_trigger_visual	Authed	Inplace
0x329F	CancelCast	handle_cancel_cast	LoggedIn	ThreadSafe
0x32A2	CloseQuestChoice	handle_unhandled_client_null_like_cpp	Authed	Inplace
0x32A4	RequestLfgListBlacklist	handle_request_lfg_list_blacklist	LoggedIn	ThreadUnsafe
0x32A9	TabardVendorActivate	handle_tabard_vendor_activate	LoggedIn	Inplace
0x32AB	TogglePvp	handle_toggle_pvp	LoggedIn	ThreadUnsafe
0x32AC	SetPvp	handle_set_pvp	LoggedIn	ThreadUnsafe
0x32B1	BattlemasterHello	handle_battlemaster_hello	LoggedIn	ThreadUnsafe
0x32B4	RequestConquestFormulaConstants	handle_request_conquest_formula_constants	LoggedIn	Inplace
0x32B5	SetAdvancedCombatLogging	handle_set_advanced_combat_logging	LoggedIn	Inplace
0x32C5	ItemTextQuery	handle_item_text_query	LoggedIn	Inplace
0x32C6	OpenItem	handle_open_item	LoggedIn	Inplace
0x32C8	ChangeBagSlotFlag	handle_unhandled_client_null_like_cpp	Authed	Inplace
0x32C9	ChangeBankBagSlotFlag	handle_change_bank_bag_slot_flag	LoggedIn	Inplace
0x32CA	SetInsertItemsLeftToRight	handle_set_insert_items_left_to_right	Authed	Inplace
0x32D9	AdventureMapStartQuest	handle_adventure_map_start_quest	LoggedIn	ThreadUnsafe
0x32DD	RequestWorldQuestUpdate	handle_request_world_quest_update	LoggedIn	ThreadUnsafe
0x32FB	ReportServerLag	handle_client_telemetry_null_like_cpp	LoggedIn	ThreadUnsafe
0x3488	SendTextEmote	handle_text_emote	LoggedIn	Inplace
0x3489	SetSheathed	handle_set_sheathed	LoggedIn	Inplace
0x348E	PetCancelAura	handle_pet_cancel_aura	LoggedIn	Inplace
0x3491	RequestStabledPets	handle_request_stabled_pets	LoggedIn	ThreadUnsafe
0x3492	TalkToGossip	handle_gossip_hello	LoggedIn	Inplace
0x3493	CloseInteraction	handle_close_interaction	LoggedIn	ThreadUnsafe
0x3494	GossipSelectOption	handle_gossip_select_option	LoggedIn	ThreadUnsafe
0x3495	SpellClick	handle_spell_click	LoggedIn	Inplace
0x3496	QuestGiverHello	handle_quest_giver_hello	LoggedIn	Inplace
0x3497	QuestGiverQueryQuest	handle_quest_giver_query_quest	LoggedIn	Inplace
0x3498	QuestGiverAcceptQuest	handle_quest_giver_accept_quest	LoggedIn	Inplace
0x3499	QuestGiverCompleteQuest	handle_quest_giver_complete_quest	LoggedIn	Inplace
0x349A	QuestGiverChooseReward	handle_quest_giver_choose_reward	LoggedIn	Inplace
0x349B	QuestGiverRequestReward	handle_quest_giver_request_reward	LoggedIn	Inplace
0x349C	QuestGiverStatusQuery	handle_quest_giver_status_query	LoggedIn	Inplace
0x349D	QuestGiverStatusMultipleQuery	handle_quest_giver_status_multiple_query	LoggedIn	ThreadUnsafe
0x349E	QuestConfirmAccept	handle_quest_confirm_accept	LoggedIn	ThreadUnsafe
0x349F	PushQuestToParty	handle_push_quest_to_party	LoggedIn	ThreadUnsafe
0x34A0	QuestPushResult	handle_quest_push_result	LoggedIn	ThreadUnsafe
0x34A1	ListInventory	handle_list_inventory	LoggedIn	Inplace
0x34A2	SellItem	handle_sell_item	LoggedIn	Inplace
0x34A3	BuyItem	handle_buy_item	LoggedIn	Inplace
0x34A4	BuyBackItem	handle_buy_back_item	LoggedIn	Inplace
0x34A8	TaxiNodeStatusQuery	handle_taxi_node_status_query	LoggedIn	ThreadSafe
0x34AB	ActivateTaxi	handle_activate_taxi	LoggedIn	ThreadSafe
0x34AD	TrainerList	handle_trainer_list	LoggedIn	Inplace
0x34AE	TrainerBuySpell	handle_trainer_buy_spell	LoggedIn	Inplace
0x34AF	SpiritHealerActivate	handle_spirit_healer_activate	LoggedIn	ThreadUnsafe
0x34B0	AreaSpiritHealerQuery	handle_area_spirit_healer_query	LoggedIn	ThreadUnsafe
0x34B1	AreaSpiritHealerQueue	handle_area_spirit_healer_queue	LoggedIn	ThreadUnsafe
0x34B2	BinderActivate	handle_binder_activate	LoggedIn	Inplace
0x34B3	BankerActivate	handle_banker_activate	LoggedIn	Inplace
0x34B4	BuyBankSlot	handle_buy_bank_slot	LoggedIn	Inplace
0x34B5	GuildBankActivate	handle_guild_bank_activate	LoggedIn	ThreadUnsafe
0x34B6	AutoGuildBankItem	handle_auto_guild_bank_item	LoggedIn	ThreadUnsafe
0x34BF	AutoStoreGuildBankItem	handle_auto_store_guild_bank_item	LoggedIn	ThreadUnsafe
0x34C2	GuildBankQueryTab	handle_guild_bank_query_tab	LoggedIn	ThreadUnsafe
0x34C3	GuildBankBuyTab	handle_guild_bank_buy_tab	LoggedIn	ThreadUnsafe
0x34C4	GuildBankUpdateTab	handle_guild_bank_update_tab	LoggedIn	ThreadUnsafe
0x34C5	GuildBankDepositMoney	handle_guild_bank_deposit_money	LoggedIn	ThreadUnsafe
0x34C6	GuildBankWithdrawMoney	handle_guild_bank_withdraw_money	LoggedIn	ThreadUnsafe
0x34CA	AuctionHelloRequest	handle_auction_hello_request	LoggedIn	ThreadUnsafe
0x34CB	AuctionSellItem	handle_auction_sell_item	LoggedIn	ThreadUnsafe
0x34CC	AuctionRemoveItem	handle_auction_remove_item	LoggedIn	ThreadUnsafe
0x34CD	AuctionListItems	handle_auction_list_items	LoggedIn	ThreadUnsafe
0x34CE	AuctionReplicateItems	handle_auction_replicate_items	LoggedIn	ThreadUnsafe
0x34CF	AuctionListOwnerItems	handle_auction_list_owner_items	LoggedIn	ThreadUnsafe
0x34D0	AuctionListBidderItems	handle_auction_list_bidder_items	LoggedIn	ThreadUnsafe
0x34D1	AuctionPlaceBid	handle_auction_place_bid	LoggedIn	ThreadUnsafe
0x34D2	AuctionListPendingSales	handle_auction_list_pending_sales	LoggedIn	ThreadUnsafe
0x34D5	QueryTime	handle_query_time	LoggedIn	Inplace
0x34D6	LogoutRequest	handle_logout_request	LoggedIn	ThreadUnsafe
0x34D8	LogoutCancel	handle_logout_cancel	LoggedIn	ThreadUnsafe
0x34D9	LogoutInstant	handle_logout_instant	Authed	ThreadUnsafe
0x34DB	ReclaimCorpse	handle_reclaim_corpse	LoggedIn	ThreadUnsafe
0x34DD	CompleteMovie	handle_complete_movie	LoggedIn	ThreadUnsafe
0x34DE	SetFactionAtWar	handle_set_faction_at_war	LoggedIn	ThreadUnsafe
0x34DF	SetFactionNotAtWar	handle_set_faction_not_at_war	LoggedIn	ThreadUnsafe
0x34E0	SetFactionInactive	handle_set_faction_inactive	LoggedIn	ThreadUnsafe
0x34E1	SetWatchedFaction	handle_set_watched_faction	LoggedIn	ThreadUnsafe
0x34E2	DuelResponse	handle_duel_response	LoggedIn	ThreadUnsafe
0x34E7	CancelAutoRepeatSpell	handle_cancel_auto_repeat_spell	LoggedIn	Inplace
0x34E8	FarSight	handle_far_sight	LoggedIn	ThreadUnsafe
0x34EC	RepairItem	handle_repair_item	LoggedIn	Inplace
0x34EE	GameObjUse	handle_game_obj_use	LoggedIn	Inplace
0x34EF	GameObjReportUse	handle_game_obj_report_use	LoggedIn	Inplace
0x34F2	CancelTempEnchantment	handle_cancel_temp_enchantment	LoggedIn	Inplace
0x34F3	SetTaxiBenchmarkMode	handle_set_taxi_benchmark_mode	LoggedIn	Inplace
0x34F5	AlterAppearance	handle_alter_appearance	LoggedIn	ThreadUnsafe
0x34F6	OptOutOfLoot	handle_opt_out_of_loot	LoggedIn	Inplace
0x34F8	TotemDestroyed	handle_totem_destroyed	LoggedIn	Inplace
0x34F9	DismissCritter	handle_dismiss_critter	LoggedIn	ThreadUnsafe
0x3500	QueryInspectAchievements	handle_query_inspect_achievements	LoggedIn	Inplace
0x3506	HearthAndResurrect	handle_hearth_and_resurrect	LoggedIn	ThreadUnsafe
0x3509	SaveEquipmentSet	handle_save_equipment_set	LoggedIn	ThreadUnsafe
0x350A	DeleteEquipmentSet	handle_delete_equipment_set	LoggedIn	ThreadUnsafe
0x350B	InstanceLockResponse	handle_instance_lock_response	LoggedIn	ThreadUnsafe
0x3512	LowLevelRaid2	handle_low_level_raid2	LoggedIn	ThreadUnsafe
0x351D	DeclineGuildInvites	handle_decline_guild_invites	LoggedIn	ThreadUnsafe
0x351E	OverrideScreenFlash	handle_override_screen_flash	LoggedIn	Inplace
0x3520	BattlemasterJoin	handle_battlemaster_join	LoggedIn	ThreadUnsafe
0x3521	BattlemasterJoinArena	handle_battlemaster_join_arena	LoggedIn	ThreadUnsafe
0x3522	BattlemasterJoinSkirmish	handle_battlemaster_join_skirmish	LoggedIn	ThreadUnsafe
0x3525	BattlefieldPort	handle_battlefield_port	LoggedIn	ThreadUnsafe
0x3526	RepopRequest	handle_repop_request	LoggedIn	ThreadUnsafe
0x3528	SetSelection	handle_set_selection	LoggedIn	ThreadUnsafe
0x3529	Inspect	handle_inspect	LoggedIn	Inplace
0x352E	QuestLogRemoveQuest	handle_quest_log_remove_quest	LoggedIn	Inplace
0x352F	GetItemPurchaseData	handle_get_item_purchase_data	LoggedIn	Inplace
0x3530	ItemPurchaseRefund	handle_item_purchase_refund	LoggedIn	Inplace
0x3531	SelfRes	handle_self_res	LoggedIn	ThreadUnsafe
0x3532	SetActionBarToggles	handle_set_action_bar_toggles	LoggedIn	ThreadUnsafe
0x3533	SignPetition	handle_sign_petition	LoggedIn	ThreadUnsafe
0x3534	DeclinePetition	handle_decline_petition	LoggedIn	ThreadUnsafe
0x3539	QueryNextMailTime	handle_query_next_mail_time	LoggedIn	ThreadUnsafe
0x3541	Emote	handle_emote	LoggedIn	Inplace
0x3543	OpeningCinematic	handle_opening_cinematic	LoggedIn	ThreadUnsafe
0x3544	NextCinematicCamera	handle_next_cinematic_camera	LoggedIn	ThreadUnsafe
0x3545	CompleteCinematic	handle_complete_cinematic	LoggedIn	ThreadUnsafe
0x3549	QuestGiverCloseQuest	handle_quest_giver_close_quest	LoggedIn	Inplace
0x3552	LearnTalent	handle_learn_talent	LoggedIn	ThreadUnsafe
0x355D	SetActionButton	handle_set_action_button	LoggedIn	ThreadUnsafe
0x355E	SetAmmo	handle_set_ammo	LoggedIn	ThreadUnsafe
0x3568	ShowingHelm	handle_showing_helm	LoggedIn	ThreadUnsafe
0x3569	ShowingCloak	handle_showing_cloak	LoggedIn	ThreadUnsafe
0x356B	QuestGiverStatusTrackedQuery	handle_quest_giver_status_tracked_query	LoggedIn	Inplace
0x35D4	ConnectToFailed	handle_connect_to_failed	Authed	Inplace
0x35D8	AddonList	handle_addon_list	Authed	Inplace
0x35D9	SetRole	handle_set_role	LoggedIn	ThreadUnsafe
0x35DA	InitiateRolePoll	handle_initiate_role_poll	LoggedIn	ThreadUnsafe
0x35DD	RequestBattlefieldStatus	handle_request_battlefield_status	LoggedIn	ThreadUnsafe
0x35E1	AcceptWargameInvite	handle_accept_wargame_invite	LoggedIn	ThreadUnsafe
0x35E4	RequestRatedPvpInfo	handle_request_rated_pvp_info	LoggedIn	ThreadUnsafe
0x35E5	DbQueryBulk	handle_db_query_bulk	Authed	Inplace
0x35E6	HotfixRequest	handle_hotfix_request	Authed	ThreadUnsafe
0x35E9	EnumCharacters	handle_enum_characters	Authed	ThreadUnsafe
0x35EB	PlayerLogin	handle_player_login	Authed	ThreadUnsafe
0x35F8	RequestPartyJoinUpdates	handle_request_party_join_updates	LoggedIn	ThreadUnsafe
0x35F9	LoadingScreenNotify	handle_loading_screen_notify	Authed	ThreadUnsafe
0x35FA	WorldPortResponse	handle_world_port_response	Transfer	ThreadUnsafe
0x35FE	AcceptGuildInvite	handle_accept_guild_invite	LoggedIn	ThreadUnsafe
0x3604	PartyInvite	handle_party_invite	LoggedIn	ThreadUnsafe
0x3606	PartyInviteResponse	handle_party_invite_response	LoggedIn	ThreadUnsafe
0x360D	LfgListGetStatus	handle_lfg_list_get_status	LoggedIn	ThreadUnsafe
0x3615	DfGetSystemInfo	handle_df_get_system_info	LoggedIn	ThreadSafe
0x3616	DfGetJoinStatus	handle_df_get_join_status	LoggedIn	ThreadSafe
0x361A	SetEveryoneIsAssistant	handle_set_everyone_is_assistant	LoggedIn	ThreadUnsafe
0x3624	BattlePetRequestJournalLock	handle_battle_pet_request_journal_lock	LoggedIn	ThreadUnsafe
0x3625	BattlePetRequestJournal	handle_battle_pet_request_journal	LoggedIn	ThreadUnsafe
0x362A	BattlePetSummon	handle_battle_pet_summon	LoggedIn	Inplace
0x362E	BattlePetSetBattleSlot	handle_battle_pet_set_battle_slot	LoggedIn	ThreadUnsafe
0x3631	BattlePetSetFlags	handle_battle_pet_set_flags	LoggedIn	ThreadUnsafe
0x3633	MountSetFavorite	handle_mount_set_favorite	LoggedIn	ThreadUnsafe
0x3634	CollectionItemSetFavorite	handle_collection_item_set_favorite	LoggedIn	ThreadUnsafe
0x3635	DoReadyCheck	handle_do_ready_check	LoggedIn	ThreadUnsafe
0x3636	ReadyCheckResponse	handle_ready_check_response	LoggedIn	Inplace
0x3645	CreateCharacter	handle_create_character	Authed	ThreadUnsafe
0x3647	SupportTicketSubmitComplaint	handle_support_ticket_submit_complaint	LoggedIn	ThreadUnsafe
0x3648	SupportTicketSubmitBug	handle_support_ticket_submit_bug	LoggedIn	ThreadUnsafe
0x3649	SupportTicketSubmitSuggestion	handle_support_ticket_submit_suggestion	LoggedIn	ThreadUnsafe
0x364A	PartyUninvite	handle_party_uninvite	LoggedIn	ThreadUnsafe
0x364B	SetLootMethod	handle_set_loot_method	LoggedIn	ThreadUnsafe
0x364C	LeaveGroup	handle_leave_group	LoggedIn	ThreadUnsafe
0x364D	SetPartyLeader	handle_set_party_leader	LoggedIn	Inplace
0x364E	MinimapPing	handle_minimap_ping	LoggedIn	ThreadUnsafe
0x364F	ChangeSubGroup	handle_change_sub_group	LoggedIn	ThreadUnsafe
0x3650	SwapSubGroups	handle_swap_sub_groups	LoggedIn	ThreadUnsafe
0x3651	ConvertRaid	handle_convert_raid	LoggedIn	ThreadUnsafe
0x3652	SetAssistantLeader	handle_set_assistant_leader	LoggedIn	ThreadUnsafe
0x3653	UpdateRaidTarget	handle_update_raid_target	LoggedIn	ThreadUnsafe
0x3654	SetPartyAssignment	handle_set_party_assignment	LoggedIn	ThreadUnsafe
0x3655	SilencePartyTalker	handle_silence_party_talker	LoggedIn	ThreadUnsafe
0x3656	RequestPartyMemberStats	handle_request_party_member_stats	LoggedIn	ThreadUnsafe
0x3657	RandomRoll	handle_random_roll	LoggedIn	ThreadUnsafe
0x3659	ToggleDifficulty	handle_toggle_difficulty	LoggedIn	Inplace
0x365C	AddBattlenetFriend	handle_add_battlenet_friend	Authed	ThreadUnsafe
0x3662	QueryCorpseLocationFromClient	handle_query_corpse_location	LoggedIn	ThreadUnsafe
0x3663	QueryCorpseTransport	handle_query_corpse_transport	LoggedIn	ThreadUnsafe
0x3664	CanDuel	handle_can_duel	LoggedIn	ThreadUnsafe
0x3666	UpdateClientSettings	handle_unhandled_client_null_like_cpp	Authed	Inplace
0x366A	ResetInstances	handle_reset_instances	LoggedIn	ThreadUnsafe
0x366E	Complaint	handle_complaint	LoggedIn	ThreadUnsafe
0x3671	CalendarGet	handle_calendar_get	LoggedIn	ThreadUnsafe
0x3672	CalendarGetEvent	handle_calendar_get_event	LoggedIn	ThreadUnsafe
0x3673	CalendarCommunityInvite	handle_calendar_community_invite	LoggedIn	ThreadUnsafe
0x3674	CalendarInvite	handle_calendar_invite	LoggedIn	ThreadUnsafe
0x3675	CalendarRemoveInvite	handle_calendar_remove_invite	LoggedIn	ThreadUnsafe
0x3676	CalendarRsvp	handle_calendar_rsvp	LoggedIn	ThreadUnsafe
0x3677	CalendarStatus	handle_calendar_status	LoggedIn	ThreadUnsafe
0x3678	CalendarModeratorStatus	handle_calendar_moderator_status	LoggedIn	ThreadUnsafe
0x3679	CalendarRemoveEvent	handle_calendar_remove_event	LoggedIn	ThreadUnsafe
0x367A	CalendarCopyEvent	handle_calendar_copy_event	LoggedIn	ThreadUnsafe
0x367B	CalendarComplain	handle_calendar_complain	LoggedIn	ThreadUnsafe
0x367C	CalendarGetNumPending	handle_calendar_get_num_pending	LoggedIn	ThreadUnsafe
0x367D	CalendarEventSignUp	handle_calendar_event_sign_up	LoggedIn	ThreadUnsafe
0x367F	CalendarAddEvent	handle_calendar_add_event	LoggedIn	ThreadUnsafe
0x3680	CalendarUpdateEvent	handle_calendar_update_event	LoggedIn	ThreadUnsafe
0x3684	SetDungeonDifficulty	handle_set_dungeon_difficulty	LoggedIn	ThreadUnsafe
0x3685	ResurrectResponse	handle_resurrect_response	LoggedIn	ThreadUnsafe
0x3687	BugReport	handle_bug_report	LoggedIn	ThreadUnsafe
0x3689	SetPlayerDeclinedNames	handle_set_player_declined_names	Authed	ThreadUnsafe
0x368A	QueryRealmName	handle_query_realm_name	LoggedIn	Inplace
0x368C	CharCustomize	handle_char_customize	Authed	ThreadUnsafe
0x368E	GmTicketGetSystemStatus	handle_gm_ticket_get_system_status	LoggedIn	Inplace
0x368F	GmTicketGetCaseStatus	handle_gm_ticket_get_case_status	LoggedIn	Inplace
0x3690	GmTicketAcknowledgeSurvey	handle_gm_ticket_acknowledge_survey	LoggedIn	Inplace
0x3693	SubmitUserFeedback	handle_submit_user_feedback	LoggedIn	ThreadUnsafe
0x3694	RequestAccountData	handle_request_account_data	Authed	ThreadUnsafe
0x3695	UpdateAccountData	handle_update_account_data	Authed	ThreadUnsafe
0x369C	ServerTimeOffsetRequest	handle_server_time_offset_request	Authed	Inplace
0x369D	CharDelete	handle_char_delete	Authed	ThreadUnsafe
0x36A1	LowLevelRaid1	handle_low_level_raid1	LoggedIn	ThreadUnsafe
0x36A4	QueryArenaTeam	handle_query_arena_team	LoggedIn	ThreadUnsafe
0x36AA	ReportFrozenWhileLoadingMap	handle_report_frozen_while_loading_map	Authed	ThreadUnsafe
0x36B2	QuestPoiQuery	handle_quest_poi_query	LoggedIn	Inplace
0x36B8	ArenaTeamRoster	handle_arena_team_roster	LoggedIn	ThreadUnsafe
0x36B9	ArenaTeamAccept	handle_arena_team_accept	LoggedIn	ThreadUnsafe
0x36BA	ArenaTeamDecline	handle_arena_team_decline	LoggedIn	ThreadUnsafe
0x36BB	ArenaTeamLeave	handle_arena_team_leave	LoggedIn	ThreadUnsafe
0x36BC	ArenaTeamRemove	handle_arena_team_remove	LoggedIn	ThreadUnsafe
0x36BD	ArenaTeamDisband	handle_arena_team_disband	LoggedIn	ThreadUnsafe
0x36BE	ArenaTeamLeader	handle_arena_team_leader	LoggedIn	ThreadUnsafe
0x36BF	GetAccountCharacterList	handle_get_account_character_list	Authed	ThreadUnsafe
0x36C4	BattlePayGetProductList	handle_battle_pay_stub	Authed	ThreadUnsafe
0x36C5	BattlePayGetPurchaseList	handle_battle_pay_stub	Authed	ThreadUnsafe
0x36C9	CharacterRenameRequest	handle_character_rename_request	Authed	ThreadUnsafe
0x36CA	ShowTradeSkill	handle_show_trade_skill	LoggedIn	ThreadUnsafe
0x36D2	RequestRaidInfo	handle_request_raid_info	LoggedIn	ThreadUnsafe
0x36D7	SendContactList	handle_send_contact_list	LoggedIn	ThreadUnsafe
0x36D8	AddFriend	handle_add_friend	LoggedIn	ThreadUnsafe
0x36D9	DelFriend	handle_del_friend	LoggedIn	ThreadUnsafe
0x36DA	SetContactNotes	handle_set_contact_notes	LoggedIn	ThreadUnsafe
0x36DB	BattlenetChallengeResponse	handle_unhandled_client_null_like_cpp	Authed	ThreadUnsafe
0x36DC	AddIgnore	handle_add_ignore	LoggedIn	ThreadUnsafe
0x36DD	DelIgnore	handle_del_ignore	LoggedIn	ThreadUnsafe
0x36E3	SetRaidDifficulty	handle_set_raid_difficulty	LoggedIn	ThreadUnsafe
0x36E4	Tutorial	handle_tutorial	LoggedIn	ThreadUnsafe
0x36E7	GetUndeleteCharacterCooldownStatus	handle_get_undelete_cooldown_status	Authed	ThreadUnsafe
0x36EB	EngineSurvey	handle_client_telemetry_null_like_cpp	LoggedIn	Inplace
0x36EE	AuctionableTokenSell	handle_auctionable_token_sell	LoggedIn	ThreadUnsafe
0x36EF	AuctionableTokenSellAtMarketPrice	handle_auctionable_token_sell_at_market_price	LoggedIn	ThreadUnsafe
0x36F6	CommerceTokenGetLog	handle_commerce_token_get_log	LoggedIn	ThreadUnsafe
0x36FB	UpdateVasPurchaseStates	handle_vas_stub	Authed	Inplace
0x36FD	BattlenetRequest	handle_battlenet_request	Authed	ThreadUnsafe
0x3701	ChangeRealmTicket	handle_change_realm_ticket	Authed	ThreadUnsafe
0x3706	ReportEnabledAddons	handle_report_enabled_addons	Authed	ThreadUnsafe
