id	cpp_scope	cpp_refs	rust_refs	status	csharp_contamination	dependencies	tests	next_action
CREATURE-P2.002	Creature::UpdateEntry	Creature.cpp:577-685	crates/wow-entities/src/creature.rs; crates/world-server/src/creature_loaded_grid.rs	partial	no	stats, flags, addon, sparring, immunities	existing lifecycle tests; needs negative tests	Audit faction/npc flags/unit flags/stats/addon order exactly.
CREATURE-P2.003	Creature::Create	Creature.cpp:1062+	crates/world-server/src/creature_loaded_grid.rs; crates/world-server/src/main.rs	partial	no	phasing, terrain status, map binding, prototype create	login grid mirror test	Port and test full pre-CreateFromProto order.
CREATURE-P2.004	Creature::LoadFromDB	Creature.cpp:1815-1923	crates/world-server/src/creature_loaded_grid.rs; crates/world-server/src/spawn_store_loader.rs	partial	no	spawn groups, respawn times, duplicate handling, pools	loaded-grid resolver tests	Implement duplicate/dead/respawn/spawn-group rules without shortcuts.
CREATURE-P2.005	Creature::LoadCreaturesAddon	Creature.cpp:2734-2797	crates/world-server/src/creature_loaded_grid.rs; crates/wow-entities/src/creature.rs	partial	no	addon store, auras, movement path, visibility distance	addon lifecycle tests	Verify mount/stand/vis/hover/sheath/kits/path/auras order.
CREATURE-P3.001	Map-owned Creature tick	Map.cpp:717-760; Creature.cpp:696+	crates/wow-world/src/session.rs; crates/wow-world/src/map_manager.rs; crates/world-server/src/main.rs	partial	no	runtime tick owner, fanout, canonical sync	runtime owner tests; needs real client	Finish production flip only after real-client proof.
CREATURE-P4.001	MotionMaster initialization	Creature.cpp:1026-1060; MotionMaster.cpp:97-130,1207-1214	crates/wow-world/src/session.rs; crates/wow-world/src/map_manager.rs	partial	no	movement generator model	step_creature_movement tests	Replace flat movement approximations with generator state.
CREATURE-P4.002	RandomMovementGenerator	RandomMovementGenerator.cpp:77-222+	crates/wow-world/src/session.rs	partial	no	pathfinding, LOS, timers, formation, movement template	random movement tests	Port reference position, wander steps, retry timers, path validation.
CREATURE-P4.003	WaypointMovementGenerator	WaypointMovementGenerator.cpp:120-455+	crates/wow-world/src/session.rs	partial	no	waypoint DB paths, AI hooks, home position	waypoint movement tests	Port DB path load, delays, AI hooks, current waypoint info, backward flags.
CREATURE-P5.001	AI creation/update	Creature.cpp:1026-1043; Creature.cpp:696+; game/AI/*	crates/wow-ai/src/lib.rs; crates/wow-world/src/session.rs	partial	no	AI selector, ScriptMgr, SmartAI	aggro/AI tests	Port SelectAI/InitializeAI/JustAppeared/MoveInLineOfSight hooks.
CREATURE-P6.001	Combat/threat/death/respawn	Creature.cpp:696+; Creature.cpp:2193+; Creature.cpp:2296+; Creature.cpp:2942+	crates/wow-world/src/session.rs; crates/wow-world/src/map_manager.rs	partial	no	Unit combat, ThreatManager, Loot, Conditions	melee/death/respawn tests	Move creature-owned melee to map owner and port state transitions.
CREATURE-P7.001	Creature create/update packets	Object.cpp:131-186,286-431; UpdateFields.cpp:650-900; MovementPackets.cpp:364+	crates/wow-packet/src/packets/update.rs; crates/wow-world/src/session.rs	partial	yes - C# contamination remains in surrounding update packet docs	UpdateField masks, movement create block, visibility	needs golden tests and real client	Highest-risk crash path; compare C++ and Rust logs before changing behavior.
CREATURE-P8.001	Gossip/quest/vendor/trainer NPC interactions	GossipDef.*; Trainer.*; Handlers/NPCHandler.cpp; Handlers/ItemHandler.cpp; Handlers/QuestHandler.cpp	crates/wow-world/src/handlers/{character,quest,trainer}.rs; crates/wow-packet/src/packets/{misc,quest,trainer}.rs	partial	yes - C# refs remain in quest/other packet comments	Conditions, Globals, Item, Quest, Trainer stores	needs real client	Port services one by one, replacing every C# claim with C++ refs.
CREATURE-P9.001	Formations, summons, pets, vehicles	CreatureGroups.*; TemporarySummon.*; Vehicle/Pet dependencies	crates/wow-world; crates/wow-entities; crates/wow-ai	missing	no	vehicles, pets, summons, formation movement	none	Do not close Creature until these paths are inventoried and scoped.
CREATURE-P10.001	Conditions/pools/events/phasing/scripts integration	Conditions; Pools; Events; Phasing; Scripting; ObjectMgr loaders	crates/wow-world; crates/world-server; crates/wow-data; crates/wow-loot	partial	no	global stores, DB loaders, condition evaluator	none	Implement dependencies when hit; no default-true Creature behavior.
CREATURE-P11.001	C++ vs Rust runtime diff harness	Object.cpp; QueryPackets.cpp; NPCPackets.cpp; MovementPackets.cpp; Map.cpp	logging/harness not yet created	missing	no	C++ server logging, Rust logging, client test	none	Add opt-in structured logs for Creature world entry and packet diffs.
